,VIN,Code fonction
0,VF1FL000370951982,AMV73 - Refroidissement
1,VF1FL000671365268,REV24 - Commandes externes boîte de vitesses
2,VF1FL000271120189,M06 - HAUT MOTEUR -SYSTEME ETANCHEITE
3,VF1FL000871374943,AMS96 - Electronique
4,VF1FL000271485987,REV23 - Suspensions
5,VF1FL000X71376564,AMS96 - Electronique
6,VF1FL000571117139,AMV52 - Climatisation
7,VF1FL000871320963,REV23 - Suspensions
8,VF1FL000471120615,REV22 - Montage de roues
9,VF1JL000770849322,REV05 - Vision
10,VF1JL000X71005995,REV22 - Montage de roues
11,VF1FL000171306970,REV05 - Vision
12,VF1JL000X71439124,REV22 - Montage de roues
13,VF1FL000970813881,M03 - CAPTEURS ET SONDES
14,VF1EL000X71107072,REV10 - Caisse assemblée
15,VF1FL000571364791,AMS92 - Réseau de bord 14V
16,VF1FL000X71321807,REV10 - Caisse assemblée
17,VF1FL000071374953,AMS96 - Electronique
18,VF1FL000871374960,AMS96 - Electronique
19,VF1FL000070838684,AMS95M - Multimédia
20,VF1FL000071425299,AMS96 - Electronique
21,VF1JL000271001990,REV23 - Suspensions
22,VF1FL000670940510,REV14 - Echappements
23,VF1FL000871406614,REV23 - Suspensions
24,VF1FL000371199369,M11.2 - EGR
25,VF1FL000471118265,REV17 - Pédalier
26,VF1JL000670969533,M12 - CARTERS -ROULEMENTS -JOINTS
27,VF1FL000871118804,REV02 - Accès et protection
28,VF1JL000570868533,REV08 - Sièges
29,VF1FL000071440658,REV09 - Systèmes de sécurité
30,VF1FL000870840716,AMV73 - Refroidissement
31,VF1FL000671459683,M04 - Logiciel calculateur contrôle moteur essence et DIESEL
32,VF1FL000771559209,REV02 - Accès et protection
33,VF1FL000471114765,AMV83 - Freinage
34,VF1FL000471260955,REV17 - Pédalier
35,VF1JL000971002165,M14 - TRANSMISSION DE PUISSANCE
36,VF1FL000571117447,REV10 - Caisse assemblée
37,VF1JL000571136414,REV08 - Sièges
38,VF1FL000271266561,AMS96 - Electronique
39,VF1FL000X71578126,AMS91 - Câblages
40,VF1JL000871010984,AMS95M - Multimédia
41,VF1JL000471160901,REV17 - Pédalier
42,VF1FL000771426398,AMS95M - Multimédia
43,VF1FL000971318364,REV17 - Pédalier
44,VF1FL000371587315,REV05 - Vision
45,VF1JL000070996355,REV23 - Suspensions
46,VF1JL000470950236,REV01 - Etanchéité et manœuvre
47,VF1JL000470818822,"REV19 - Roue, pneu, enjoliveur"
48,VF1FL000871247142,AMV81 - Direction
49,VF1FL000971118603,REV23 - Suspensions
50,VF1FL000071133474,AMV83 - Freinage
51,VF1FL000071408339,REV24 - Commandes externes boîte de vitesses
52,VF1FL000070911312,AMS96 - Electronique
53,VF1FL000170695860,AMS94 - ADAS
54,VF1FL000671003778,AMS91 - Câblages
55,VF1FL000271313068,REV05 - Vision
56,VF1JL000370862908,REV24 - Commandes externes boîte de vitesses
57,VF1JL0009P0086364,REV01 - Etanchéité et manœuvre
58,VF1FL000470836792,AMS91 - Câblages
59,VF1FL000670147255,AMS95M - Multimédia
60,VF1JL000671127737,AMS91 - Câblages
61,VF1FL000171376307,REV14 - Echappements
62,VF1FL000971484335,AMS96 - Electronique
63,VF1FL0005P0856582,AMS91 - Câblages
64,VF1JL000671134042,REV01 - Etanchéité et manœuvre
65,VF1FL000171120202,M03 - CAPTEURS ET SONDES
66,VF1FL000471179311,M10 - SYSTEME ADMISSION D AIR -CIRCUIT CARBURANT
67,VF1FL000770392565,REV09 - Systèmes de sécurité
68,VF1FL000570516672,REV16 - Circuit carburant
69,VF1FL000371046510,REV25 - Transmission de puissance (pièces externes : arbres et supports de roulements)
70,VF1FL000571374902,REV04 - Eclairage 
71,VF1FL000971150855,REV02 - Accès et protection
72,VF1JL0003P0088031,AMS92 - Réseau de bord 14V
73,VF1FL000571260706,M07 - ATTELAGE MOBILE -EMBRAYAGE
74,VF1JL000470815869,REV05 - Vision
75,VF1JL000070838680,AMS96 - Electronique
76,VF1JL000471383004,AMS91 - Câblages
77,VF1FL000271081619,REV02 - Accès et protection
78,VF1FL000171040463,REV04 - Eclairage 
79,VF1FL000X71363605,REV04 - Eclairage 
80,VF1FL000171306886,REV17 - Pédalier
81,VF1FL000571173257,M04 - Logiciel calculateur contrôle moteur essence et DIESEL
82,VF1FL000671570721,AMS96 - Electronique
83,VF1EL000071283614,AMV73 - Refroidissement
84,VF1FL000171095530,REV09 - Systèmes de sécurité
85,VF1FL000X71388245,REV23 - Suspensions
86,VF1JL000171224229,M10 - SYSTEME ADMISSION D AIR -CIRCUIT CARBURANT
87,VF1FL000571388914,AMS91 - Câblages
88,VF1FL000471387396,AMS96 - Electronique
89,VF1FL000271081992,M03 - CAPTEURS ET SONDES
90,VF1EL000871213973,M12 - CARTERS -ROULEMENTS -JOINTS
91,VF1FL000370995061,REV09 - Systèmes de sécurité
92,VF1FL000470951831,REV06 - Planche de bord et traverse 
93,VF1FL000871266404,REV05 - Vision
94,VF1FL000871365501,REV09 - Systèmes de sécurité
95,VF1FL000171586406,REV01 - Etanchéité et manœuvre
96,VF1FL000771376571,AMS96 - Electronique
97,VF1JL000671141752,REV14 - Echappements
98,VF1JL000X71364263,REV06 - Planche de bord et traverse 
99,VF1FL000671116968,REV07 - Habillage intérieur
100,VF1JL000170954163,REV02 - Accès et protection
101,VF1FL000971373087,REV04 - Eclairage 
102,VF1FL000371373036,REV24 - Commandes externes boîte de vitesses
103,VF1FL000371336133,AMS96 - Electronique
104,VF1FL000570464489,AMS95M - Multimédia
105,VF1FL000771371077,M06 - HAUT MOTEUR -SYSTEME ETANCHEITE
106,VF1FL000171012193,REV01 - Etanchéité et manœuvre
107,VF1FL000871437474,M03 - CAPTEURS ET SONDES
108,VF1JL000570982841,REV22 - Montage de roues
109,VF1FL000771126473,AMS96 - Electronique
110,VF1JL000770989855,AMS91 - Câblages
111,VF1FL000071319158,REV22 - Montage de roues
112,VF1FL000071431233,AMV81 - Direction
113,VF1FL000671471767,REV07 - Habillage intérieur
114,VF1FL000271524240,AMS92 - Réseau de bord 14V
115,VF1FL000671520921,AMV52 - Climatisation
116,VF1FL000471325884,REV04 - Eclairage 
117,VF1JL000671002138,M03 - CAPTEURS ET SONDES
118,VF1FL000071387508,AMS91 - Câblages
119,VF1FL000571371109,M06 - HAUT MOTEUR -SYSTEME ETANCHEITE
120,VF1FL000771459921,M18 - Alternateur et démarreur
121,VF1FL000571484400,AMS96 - Electronique
122,VF1JL000571229174,REV25 - Transmission de puissance (pièces externes : arbres et supports de roulements)
123,VF1FL000271218476,M03 - CAPTEURS ET SONDES
124,VF1FL000271130057,AMS54 - Commande et interrupteurs
125,VF1FL000771395217,M18 - Alternateur et démarreur
126,VF1JL000X70950693,REV05 - Vision
127,VF1JL000171317199,AMS96 - Electronique
128,VF1FL000071454897,AMS92 - Réseau de bord 14V
129,VF1JL000270981033,M02 - Système de gestion moteur DIESEL et circuit de carburant
130,VF1JL0006P0086368,AMS92 - Réseau de bord 14V
131,VF1FL000570837045,REV09 - Systèmes de sécurité
132,VF1FL000871279198,AMS95D - Affichage
133,VF1FL000871128765,REV03 - Accessoires extérieurs 
134,VF1FL000570823548,AMV73 - Refroidissement
135,VF1JL000571122190,AMS91 - Câblages
136,VF1FL000171120202,M03 - CAPTEURS ET SONDES
137,VF1FL000670171698,AMS94 - ADAS
138,VF1FL000770837919,REV09 - Systèmes de sécurité
139,VF1FL000571168947,REV04 - Eclairage 
140,VF1JL000370606848,REV16 - Circuit carburant
141,VF1FL000670917311,M03 - CAPTEURS ET SONDES
142,VF1FL000670960742,REV02 - Accès et protection
143,VF1FL000770838018,REV02 - Accès et protection
144,VF1FL000371452948,M03 - CAPTEURS ET SONDES
145,VF1FL000671455049,REV06 - Planche de bord et traverse 
146,VF1FL000370966692,M03 - CAPTEURS ET SONDES
147,VF1FL000671325997,REV17 - Pédalier
148,VF1JL000671002057,"REV20 - Berceaux AV, bras inférieurs"
149,VF1FL000071040342,AMS95C - Connectivité
150,VF1JL000771203868,AMS91 - Câblages
151,VF1FL000X71325727,AMS95M - Multimédia
152,VF1FL000271007889,M04 - Logiciel calculateur contrôle moteur essence et DIESEL
153,VF1EL000371106944,AMS54 - Commande et interrupteurs
154,VF1FL000370960648,REV23 - Suspensions
155,VF1FL000171375013,AMS91 - Câblages
156,VF1JL000070606919,AMS96 - Electronique
157,VF1FL000069978437,AMS91 - Câblages
158,VF1FL000570282694,AMV81 - Direction
