,VIN,CALCULATEUR,TYPE_DEFAUT
0,VF1FL000971378984,BCM,CONSUMP REVERS LIGHT
1,VF1FL000971378984,BCM,CONSUMP REVERS LIGHT
2,VF1FL000971378984,NCA,DTC
3,VF1FL000471455762,ECM,PAS REPONSE UCE
4,VF1FL000471455762,ECM,CALIBRATION
5,VF1FL000471455762,UDM,PAS REPONSE UCE
6,VF1FL000471455762,ECM,PAS REPONSE UCE
7,VF1FL000471455762,EPS,ECRITURE VIN
8,VF1FL000471455762,EPS,CONFIGURATION AUTOMATIQUE
9,VF1FL000971378984,ECM,PAS REPONSE UCE
10,VF1FL000071156236,TCU,MODE COMMERCIAL
11,VF1FL000071156236,TCU,MNEMONIC : EID 1
12,VF1FL000071156236,TCU,MODE COMMERCIAL
13,VF1FL000071156236,TCU,MNEMONIC : EID 1
14,VF1FL000971378984,UDM,PAS REPONSE UCE
15,VF1FL000971378984,EPS,CONFIGURATION AUTOMATIQUE
16,VF1FL000971378984,ECM,PAS REPONSE UCE
17,VF1FL000971378984,EPS,ECRITURE VIN
18,VF1FL000371437740,ECM,DTC
19,VF1FL000371437740,ECM,DTC
20,VF1FL000371437740,ABS,DTC
21,VF1FL000371437740,ECM,DTC
22,VF1FL000371437740,ECM,DTC
23,VF1FL000371437740,BCM,TEMOIN CEINTURE SECURITE
24,VF1FL000371437740,ECM,DTC
25,VF1FL000371437740,ECM,CAPTEUR EAU DANS GASOIL
26,VF1FL000371437740,ECM,DTC
27,VF1FL000371437740,ECM,DTC
28,VF1FL000371437740,ECM,DTC
29,VF1FL000371437740,ECM,DTC
30,VF1FL000371437740,BCM,CONSUMP REVERS LIGHT
31,VF1FL000371437740,ECM,DTC
32,VF1FL000371437740,ECM,DTC
33,VF1FL000371437740,ECM,DTC
34,VF1FL000371437740,ECM,DTC
35,VF1FL000371437740,ECM,DTC
36,VF1FL000371437740,ECM,DTC
37,VF1FL000371437740,ECM,DTC
38,VF1FL000371437740,ECM,DTC
39,VF1FL000371437740,UDM,PAS REPONSE UCE
40,VF1FL000371437740,BCM,ECLAIRAGE PLAFONNIER AV
41,VF1FL000371437740,ECM,DTC
42,VF1FL000371437740,ECM,DTC
43,VF1FL000371437740,ECM,DTC
44,VF1FL000371437740,USM,GMV 1
45,VF1FL000371437740,ECM,DTC
46,VF1FL000371437740,USM,GMV 1
47,VF1FL000371437740,ECM,DTC
48,VF1FL000371437740,UDM,PAS REPONSE UCE
49,VF1FL000971424720,HFM,BOUTON PORTE AR PASSAGER
50,VF1FL000971424720,HFM,BOUTON PORTE AR PASSAGER
51,VF1FL000971424720,HFM,NOMBRE CLE APPRIS
52,VF1FL000971424720,HFM,BOUTON PORTE AR PASSAGER
53,VF1FL000971424720,ECM,ECRITURE VIN
54,VF1FL000971424720,BCM,BADGE NON PRESENT
55,VF1FL000971424720,HFM,DEFAUT
56,VF1FL000971424720,BCM,CLE NON RECONNUE
57,VF1FL000971424720,ECM,ETAT PROTEGE 5
58,VF1FL000971424720,HFM,DEFAUT
59,VF1FL000971424720,ECM,RESET DTC
60,VF1FL000371398857,BCM,NOMBRE CLE APPRIS
61,VF1FL000371398857,BCM,CODE APV
62,VF1FL000371398857,BCM,APC NON VU
63,VF1FL000371398857,BCM,CLE NON RECONNUE
64,VF1FL000371398857,ECM,ECRITURE VIN
65,VF1FL000371398857,ECM,RESET DTC
66,VF1FL000371398857,ECM,ETAT PROTEGE 5
67,VF1FL000371398857,BCM,CLE NON RECONNUE
68,VF1FL000371398857,BCM,NOMBRE CLE APPRIS
69,VF1FL000971424720,HFM,APC NON COUPE
70,VNVF4000X71390246,BCM,ESSUIE-VITRE AV
71,VNVF4000X71390246,ECM,PAS REPONSE UCE
72,VNVF4000X71390246,EPS,DTC
73,VNVF4000X71390246,BCM,DEGIVRAGE LUNETTE AR
74,VNVF4000X71390246,HVAC,GMV HABITACLE
75,VNVF4000X71390246,BCM,ESSUIE-VITRE AV
76,VNVF4000X71390246,BCM,LEVE-VITRE AV PSG
77,VNVF4000X71390246,BCM,CONSUMP REVERS LIGHT
78,VNVF4000X71390246,EPS,DTC
79,VNVF4000X71390246,BCM,DEGIVRAGE LUNETTE AR
80,VNVF4000X71390246,USM,COMPRESSEUR AIR CONDITIONNE
81,VNVF4000X71390246,HVAC,GMV HABITACLE
82,VNVF4000X71390246,UDM,PAS REPONSE UCE
83,VNVF4000X71390246,BCM,DEGIVRAGE LUNETTE AR
84,VNVF4000X71390246,BCM,CONSUMP REVERS LIGHT
85,VNVF4000X71390246,HVAC,PRESSION GAZ CLIM
86,VNVF4000X71390246,USM,COMPRESSEUR AIR CONDITIONNE
87,VNVF4000X71390246,BCM,ESSUIE-VITRE AV
88,VNVF4000X71390246,BCM,LEVE-VITRE AV PSG
89,VNVF4000X71390246,USM,COMPRESSEUR AIR CONDITIONNE
90,VNVF4000X71390246,ECM,PAS REPONSE UCE
91,VNVF4000X71390246,ECM,PAS REPONSE UCE
92,VNVF4000X71390246,BCM,DEFAUT
93,VNVF4000X71390246,ECM,CALIBRATION
94,VNVF4000X71390246,EPS,CONFIGURATION AUTOMATIQUE
95,VNVF4000X71390246,UDM,PAS REPONSE UCE
96,VNVF4000X71390246,EPS,ECRITURE VIN
97,VNVF4000X71390246,BCM,DEFAUT
98,VNVF4000X71390246,BCM,DEFAUT
99,VF1FL000571407283,METER,DTC
100,VF1FL000571407283,METER,DTC
101,VF1FL000571407283,SONAR,CAMERA AR
102,VF1FL000370962240,BCM,DTC
103,VF1FL000370962240,BCM,RETROVISEUR RABATTABLE
104,VF1FL000370962240,BCM,RETROVISEUR RABATTABLE
105,VF1EL000771363654,BCM,LEVE-VITRE AV PSG
106,VF1EL000771363654,BCM,LEVE-VITRE AV PSG
107,VF1EL000771363654,BCM,LEVE-VITRE AV PSG
108,VF1EL000771363654,BCM,LEVE-VITRE AV PSG
109,VF1FL000871320915,BCM,DEGIVRAGE LUNETTE AR
110,VF1FL000871320915,BCM,DEGIVRAGE LUNETTE AR
111,VF1FL000871320915,BCM,ESSUIE-VITRE AV
112,VF1FL000871320915,BCM,ESSUIE-VITRE AV
113,VF1FL000871320915,BCM,DEGIVRAGE LUNETTE AR
114,VF1FL000871320915,BCM,ESSUIE-VITRE AV
115,VF6T8200771451117,TCU,DTC
116,VF6T8200871420362,USM,FEU CROISEMENT G
117,VF6T8200871420362,USM,FEU CROISEMENT D
118,VF6T8200871420362,HFM,DTC
119,VF1EL000971363686,BCM,PORTE AR PSG
120,VF1EL000971363686,BCM,PORTE AR PSG
121,VF1FL000771319013,BCM,REPETITEUR PSG
122,VF1FL000771319013,ECM,DTC
123,VF1FL000771319013,BCM,RETROVISEUR RABATTABLE
124,VF1FL000771319013,ECM,DTC
125,VF1FL000771319013,ECM,DTC
126,VF1FL000771319013,METER,DTC
127,VF1FL000771319013,BCM,RETROVISEUR PSG
128,VF1FL000771319013,ECM,DTC
129,VF1JL000671321300,BCM,PORTE COFFRE
130,VF1JL000671321300,BCM,PORTE COFFRE
131,VF1JL000671321300,ECM,DTC
132,VF1JL000671321300,ECM,DTC
133,VF1JL000671321300,BCM,PORTE COFFRE
134,VF1JL000671321300,BCM,PORTE COFFRE
135,VF1FL000370960603,TCU,DTC
136,VF1FL000370960603,NAV,PAS REPONSE UCE
137,VF1FL000370960603,BCM,DELIVERY MODE / CUSTOMER MODE
138,VF1FL000370960603,NAV,PAS REPONSE UCE
139,VF1FL000370960603,NAV,DTC
140,VF1FL000370960603,NAV,DTC
141,VF1FL000370960603,NAV,DTC
